Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,119,0.119,119,0.119,0,0
1000,115,0.115,115,0.115,0,0
1000,121,0.121,121,0.121,0,0
1000,121,0.121,121,0.121,0,0
1000,113,0.113,113,0.113,0,0
1000,114,0.114,114,0.114,0,0
1000,114,0.114,114,0.114,0,0
1000,118,0.118,118,0.118,0,0
1000,118,0.118,118,0.118,0,0
1000,123,0.123,123,0.123,0,0
1000,112,0.112,112,0.112,0,0
1000,106,0.106,106,0.106,0,0
1000,112,0.112,112,0.112,0,0
1000,119,0.119,119,0.119,0,0
1000,111,0.111,111,0.111,0,0
1000,104,0.104,104,0.104,0,0
1000,94,0.094,94,0.094,0,0
1000,102,0.102,102,0.102,0,0
1000,104,0.104,104,0.104,0,0
1000,122,0.122,122,0.122,0,0
1000,104,0.104,104,0.104,0,0
1000,121,0.121,121,0.121,0,0
1000,110,0.11,110,0.11,0,0
1000,117,0.117,117,0.117,0,0
1000,121,0.121,121,0.121,0,0
1000,116,0.116,116,0.116,0,0
1000,104,0.104,104,0.104,0,0
1000,118,0.118,118,0.118,0,0
1000,110,0.11,110,0.11,0,0
1000,107,0.107,107,0.107,0,0
1000,119,0.119,119,0.119,0,0
1000,102,0.102,102,0.102,0,0
1000,173,0.173,72,0.072,101,0.101
1000,193,0.193,84,0.084,109,0.109
1000,151,0.151,51,0.051,100,0.1
1000,111,0.111,39,0.039,72,0.072
1000,165,0.165,65,0.065,100,0.1
1000,184,0.184,63,0.063,121,0.121
1000,171,0.171,73,0.073,98,0.098
1000,164,0.164,41,0.041,123,0.123
1000,172,0.172,68,0.068,104,0.104
1000,146,0.146,37,0.037,109,0.109
1000,178,0.178,91,0.091,87,0.087
1000,171,0.171,58,0.058,113,0.113
1000,189,0.189,80,0.08,109,0.109
1000,168,0.168,82,0.082,86,0.086
1000,182,0.182,74,0.074,108,0.108
1000,191,0.191,96,0.096,95,0.095
1000,185,0.185,69,0.069,116,0.116
1000,203,0.203,83,0.083,120,0.12
1000,190,0.19,72,0.072,118,0.118
1000,161,0.161,74,0.074,87,0.087
1000,188,0.188,72,0.072,116,0.116
1000,171,0.171,60,0.06,111,0.111
1000,188,0.188,78,0.078,110,0.11
1000,173,0.173,61,0.061,112,0.112
1000,173,0.173,51,0.051,122,0.122
1000,182,0.182,62,0.062,120,0.12
1000,196,0.196,79,0.079,117,0.117
1000,180,0.18,88,0.088,92,0.092
1000,198,0.198,80,0.08,118,0.118
1000,180,0.18,67,0.067,113,0.113
1000,173,0.173,76,0.076,97,0.097
1000,165,0.165,53,0.053,112,0.112
1000,173,0.173,72,0.072,101,0.101
1000,183,0.183,72,0.072,111,0.111
